,timestamp,axis1,axis2,axis3,Activity
1,1/19/2018 10:04,0,0,0,Sitting
2,1/19/2018 10:05,0,0,0,Sitting
3,1/19/2018 10:06,0,0,0,Sitting
4,1/19/2018 10:07,0,0,7,Sitting
5,1/19/2018 10:08,0,0,0,Sitting
6,1/19/2018 10:09,2053,1406,1521,Walking
7,1/19/2018 10:10,0,24,0,Sitting
8,1/19/2018 10:11,945,1645,1571,Walking
9,1/19/2018 10:12,1783,960,2141,Walking
10,1/19/2018 10:13,75,262,177,Walking
11,1/19/2018 10:14,40,95,128,Walking
12,1/19/2018 10:15,52,164,286,Walking
13,1/19/2018 10:16,167,332,374,Walking
14,1/19/2018 10:17,80,59,107,Walking
15,1/19/2018 10:18,0,0,10,Sitting
16,1/19/2018 10:19,252,192,227,Walking
17,1/19/2018 10:20,241,301,538,Walking
18,1/19/2018 10:21,9,6,29,Sitting
19,1/19/2018 10:22,0,0,0,Sitting
20,1/19/2018 10:23,243,310,375,Walking
21,1/19/2018 10:24,129,132,373,Walking
22,1/19/2018 10:25,0,14,0,Sitting
23,1/19/2018 10:26,0,1,0,Sitting
24,1/19/2018 10:27,0,0,0,Sitting
25,1/19/2018 10:28,0,0,0,Sitting
26,1/19/2018 10:29,0,0,0,Sitting
27,1/19/2018 10:30,0,0,0,Sitting
28,1/19/2018 10:31,0,0,0,Sitting
29,1/19/2018 10:32,0,15,0,Sitting
30,1/19/2018 10:33,0,13,0,Sitting
31,1/19/2018 10:34,0,0,0,Sitting
32,1/19/2018 10:35,0,16,0,Sitting
33,1/19/2018 10:36,0,0,0,Sitting
34,1/19/2018 10:37,0,0,0,Sitting
35,1/19/2018 10:38,0,0,0,Sitting
36,1/19/2018 10:39,11,39,30,Sitting
37,1/19/2018 10:40,0,25,7,Sitting
38,1/19/2018 10:41,0,0,0,Sitting
39,1/19/2018 10:42,0,0,18,Sitting
40,1/19/2018 10:43,0,0,0,Sitting
41,1/19/2018 10:44,0,0,0,Sitting
42,1/19/2018 10:45,1519,1088,975,Walking
43,1/19/2018 10:46,670,1425,1761,Walking
44,1/19/2018 10:47,1706,2040,1958,Running
45,1/19/2018 10:48,264,522,177,Walking
46,1/19/2018 10:49,0,0,0,Sitting
47,1/19/2018 10:50,9,67,17,Sitting
48,1/19/2018 10:51,0,0,0,Sitting
49,1/19/2018 10:52,30,70,0,Sitting
50,1/19/2018 10:53,0,0,0,Sitting
51,1/19/2018 10:54,122,292,121,Walking
52,1/19/2018 10:55,247,855,652,Walking
53,1/19/2018 10:56,35,62,9,Sitting
54,1/19/2018 10:57,480,1041,764,Walking
55,1/19/2018 10:58,290,1144,795,Walking
56,1/19/2018 10:59,1810,1926,1345,Walking
57,1/19/2018 11:00,5977,2148,1555,Walking
58,1/19/2018 11:01,5283,2321,1700,Running
59,1/19/2018 11:02,3182,2167,986,Walking
60,1/19/2018 11:03,374,812,545,Walking
61,1/19/2018 11:04,0,20,64,Sitting
62,1/19/2018 11:05,314,830,470,Walking
63,1/19/2018 11:06,47,608,197,Walking
64,1/19/2018 11:07,42,424,267,Walking
65,1/19/2018 11:08,42,473,150,Walking
66,1/19/2018 11:09,200,721,725,Walking
67,1/19/2018 11:10,93,323,313,Walking
68,1/19/2018 11:11,34,281,209,Walking
69,1/19/2018 11:12,37,237,174,Walking
70,1/19/2018 11:13,46,378,246,Walking
71,1/19/2018 11:14,47,489,247,Walking
72,1/19/2018 11:15,30,344,219,Walking
73,1/19/2018 11:16,105,664,429,Walking
74,1/19/2018 11:17,19,207,205,Walking
75,1/19/2018 11:18,139,717,438,Walking
76,1/19/2018 11:19,63,419,364,Walking
77,1/19/2018 11:20,82,642,339,Walking
78,1/19/2018 11:21,47,514,259,Walking
79,1/19/2018 11:22,165,629,479,Walking
80,1/19/2018 11:23,56,657,372,Walking
81,1/19/2018 11:24,66,573,248,Walking
82,1/19/2018 11:25,40,368,248,Walking
83,1/19/2018 11:26,65,448,325,Walking
84,1/19/2018 11:27,10,206,137,Walking
85,1/19/2018 11:28,64,502,349,Walking
86,1/19/2018 11:29,18,258,151,Walking
87,1/19/2018 11:30,4,141,129,Walking
88,1/19/2018 11:31,38,483,274,Walking
89,1/19/2018 11:32,27,504,195,Walking
90,1/19/2018 11:33,96,488,410,Walking
91,1/19/2018 11:34,52,573,228,Walking
92,1/19/2018 11:35,21,424,249,Walking
93,1/19/2018 11:36,19,335,251,Walking
94,1/19/2018 11:37,30,370,290,Walking
95,1/19/2018 11:38,37,485,266,Walking
96,1/19/2018 11:39,155,727,523,Walking
97,1/19/2018 11:40,54,814,287,Walking
98,1/19/2018 11:41,27,453,143,Walking
99,1/19/2018 11:42,27,270,168,Walking
100,1/19/2018 11:43,33,270,321,Walking
101,1/19/2018 11:44,21,487,210,Walking
102,1/19/2018 11:45,35,559,306,Walking
103,1/19/2018 11:46,37,373,177,Walking
104,1/19/2018 11:47,18,299,262,Walking
105,1/19/2018 11:48,18,397,235,Walking
106,1/19/2018 11:49,32,294,207,Walking
107,1/19/2018 11:50,19,366,205,Walking
108,1/19/2018 11:51,47,406,220,Walking
109,1/19/2018 11:52,50,362,186,Walking
110,1/19/2018 11:53,19,408,216,Walking
111,1/19/2018 11:54,18,424,175,Walking
112,1/19/2018 11:55,143,602,281,Walking
113,1/19/2018 11:56,27,533,238,Walking
114,1/19/2018 11:57,17,278,174,Walking
115,1/19/2018 11:58,46,386,167,Walking
116,1/19/2018 11:59,15,322,97,Walking
117,1/19/2018 12:00,35,330,264,Walking
118,1/19/2018 12:01,147,592,602,Walking
119,1/19/2018 12:02,62,375,180,Walking
120,1/19/2018 12:03,1432,1547,892,Walking
121,1/19/2018 12:04,1462,1841,761,Walking
122,1/19/2018 12:05,156,272,159,Walking
123,1/19/2018 12:06,4,37,0,Sitting
124,1/19/2018 12:07,0,0,0,Sitting
125,1/19/2018 12:08,18,64,137,Sitting
126,1/19/2018 12:09,4,12,45,Sitting
127,1/19/2018 12:10,0,108,103,Sitting
128,1/19/2018 12:11,0,0,27,Sitting
129,1/19/2018 12:12,3,66,65,Sitting
130,1/19/2018 12:13,0,12,27,Sitting
131,1/19/2018 12:14,0,0,0,Sitting
132,1/19/2018 12:15,4,202,200,Walking
133,1/19/2018 12:16,102,529,522,Walking
134,1/19/2018 12:17,105,721,395,Walking
135,1/19/2018 12:18,265,644,648,Walking
136,1/19/2018 12:19,139,771,606,Walking
137,1/19/2018 12:20,84,440,303,Walking
138,1/19/2018 12:21,129,904,649,Walking
139,1/19/2018 12:22,64,514,366,Walking
140,1/19/2018 12:23,61,734,438,Walking
141,1/19/2018 12:24,131,419,259,Walking
